Age_ka_BP,Misodendrum
-0.04485,0.7371
0.21255,0.95238
0.49855,3.31492
0.78302,0.76142
1.08217,1.49254
1.27988,5.38244
1.39735,0.79576
1.9675,2.44444
2.53135,1.2987
3.02942,1.08401
3.45116,2.34987
3.8287,2.31884
4.06656,1.92837
4.18975,5.29248
4.33996,4.37158
4.61,1.52439
4.866,2.41287
5.17355,0.83565
5.56717,3.40909
5.93794,2.91005
6.30813,4.10959
6.58545,4.22535
6.88062,4.28135
7.19496,4.58453
7.4685,5.76369
7.63518,5.19126
7.7571,3.76344
7.99478,4.89914
8.279,6.88623
8.56872,5.84795
9.32112,10.91445
9.46803,8.1571
9.76654,12.75964
9.97712,13.12849
10.34788,15.0838
10.49455,9.09091
10.7409,11.08033
10.92445,8.79765
11.17471,5.30504
11.54442,3.20856
12.30612,3.67232
12.36243,1.03896
12.5459,0
12.72503,0
12.88937,0
