Age_Sh20,S90_S60_median,S90_S60_5pc,S90_S60_95pc,global_median,global_5pc,global_95pc,age1,zero,median,sd,lower95,upper95,age2,age3,age4,age5,age6,age7,age8,age9,plot_at
0,0.5,-0.57,3.12,0.09,-0.26,0.58,-100,0,0.024297521,0.140959961,-2.207520661,1.513966942,0,1,800,2800,3400,4300,4900,7300,3
0.1,0,-1.46,1.29,0,-0.34,0.36,12000,0,0.024297521,0.140959961,-2.207520661,1.513966942,300,1,1500,3100,4000,4700,6300,11300,3
0.2,-0.19,-1.88,0.89,0.05,-0.29,0.39,,,,,,,,,,,,,,,
0.3,-0.17,-1.86,0.93,0.02,-0.31,0.36,,,,,,,,,,,,,,,
0.4,-0.08,-1.88,1.11,0.03,-0.32,0.35,,,,,,,,,,,,,,,
0.5,-0.01,-1.75,1.23,0.04,-0.28,0.34,,,,,,,,,,,,,,,
0.6,0.07,-1.54,1.4,0.07,-0.24,0.37,,,,,,,,,,,,,,,
0.7,0.13,-1.31,1.86,0.07,-0.23,0.38,,,,,,,,,,,,,,,
0.8,0.12,-1.15,1.73,0.08,-0.2,0.37,,,,,,,,,,,,,,,
0.9,0.11,-0.99,1.65,0.08,-0.22,0.38,,,,,,,,,,,,,,,
1,0.17,-0.96,1.79,0.11,-0.19,0.42,,,,,,,,,,,,,,,
1.1,0.35,-0.79,1.89,0.14,-0.15,0.47,,,,,,,,,,,,,,,
1.2,0.43,-0.55,1.94,0.17,-0.12,0.51,,,,,,,,,,,,,,,
1.3,0.4,-0.66,1.85,0.18,-0.07,0.5,,,,,,,,,,,,,,,
1.4,0.34,-0.63,1.97,0.14,-0.12,0.45,,,,,,,,,,,,,,,
1.5,0.14,-1.12,1.64,0.13,-0.13,0.4,,,,,,,,,,,,,,,
1.6,0.1,-1.36,1.62,0.13,-0.14,0.41,,,,,,,,,,,,,,,
1.7,0.15,-1.01,1.78,0.14,-0.11,0.46,,,,,,,,,,,,,,,
1.8,0.05,-1.42,1.46,0.15,-0.1,0.46,,,,,,,,,,,,,,,
1.9,0,-1.83,1.16,0.14,-0.12,0.41,,,,,,,,,,,,,,,
2,-0.02,-2.04,1.12,0.16,-0.1,0.42,,,,,,,,,,,,,,,
2.1,-0.01,-1.62,1.29,0.17,-0.07,0.49,,,,,,,,,,,,,,,
2.2,0.03,-1.31,1.4,0.2,-0.03,0.53,,,,,,,,,,,,,,,
2.3,0.03,-1.34,1.33,0.21,-0.01,0.57,,,,,,,,,,,,,,,
2.4,0,-1.65,1.23,0.22,-0.01,0.56,,,,,,,,,,,,,,,
2.5,-0.01,-1.51,1.23,0.22,-0.01,0.61,,,,,,,,,,,,,,,
2.6,-0.02,-1.85,1.02,0.22,-0.01,0.58,,,,,,,,,,,,,,,
2.7,-0.02,-1.89,1.14,0.23,0,0.61,,,,,,,,,,,,,,,
2.8,0.04,-1.18,1.49,0.25,0.01,0.65,,,,,,,,,,,,,,,
2.9,0.14,-1.03,1.62,0.27,0.04,0.69,,,,,,,,,,,,,,,
3,0.12,-1.13,1.67,0.29,0.05,0.71,,,,,,,,,,,,,,,
3.1,0.14,-1.1,1.72,0.3,0.08,0.77,,,,,,,,,,,,,,,
