Age_ka_BP,Age_cal_BP,PC1,PC2,RSDPC1,RSDPC2
6.51,6510,0.037217055,2.32742011,0.221847641,2.423133553
6.557,6557,-1.415504116,0.839460613,-1.300138944,1.041435726
6.607,6607,-1.77642521,-0.366038583,-1.300138944,1.041435726
6.654,6654,-1.194277039,1.729638834,-1.300138944,1.041435726
6.709,6709,-0.773211919,1.684815465,-1.300138944,1.041435726
6.763,6763,-1.49661403,0.706737878,-1.300138944,1.041435726
6.815,6815,-0.649717491,1.324919311,-1.300138944,1.041435726
6.875,6875,-1.576220434,1.124844192,-1.300138944,1.041435726
6.936,6936,-0.966024108,1.270480591,-1.300138944,1.041435726
6.999,6999,-2.329559867,-1.200337782,-1.300138944,1.041435726
7.047,7047,-1.687994515,-0.513156042,-1.300138944,1.041435726
7.099,7099,-1.606070939,0.650023625,-1.300138944,1.041435726
7.147,7147,-0.611918549,1.597353558,-1.300138944,1.041435726
7.192,7192,-1.477418916,1.08681974,-1.300138944,1.041435726
7.246,7246,-0.690054338,2.563100845,-1.300138944,1.041435726
7.297,7297,-1.327519335,1.521760062,-1.300138944,1.041435726
7.339,7339,-0.038530498,2.228760466,-1.300138944,1.041435726
7.381,7381,-1.905152589,0.427743311,-1.300138944,1.041435726
7.429,7429,-1.649466688,0.408413634,-1.300138944,1.041435726
7.465,7465,-2.277265587,-0.569662173,-2.250008357,-1.128421633
7.506,7506,-2.109778886,-0.474199222,-2.250008357,-1.128421633
7.548,7548,-2.543186372,-0.553101011,-2.250008357,-1.128421633
7.586,7586,-2.142310476,-0.944498615,-2.250008357,-1.128421633
7.621,7621,-3.051781231,-1.861810089,-2.250008357,-1.128421633
7.655,7655,-1.694977919,-0.984539395,-2.250008357,-1.128421633
7.694,7694,-3.017232592,-1.701278602,-2.250008357,-1.128421633
7.735,7735,-2.450444478,-0.973108005,-2.250008357,-1.128421633
7.771,7771,-2.815208191,-1.546413059,-2.250008357,-1.128421633
7.81,7810,-2.085341119,-0.984940811,-2.250008357,-1.128421633
7.848,7848,-3.356670265,-1.339745069,-2.250008357,-1.128421633
7.887,7887,-2.127083906,-0.611123748,-2.250008357,-1.128421633
7.921,7921,-2.399797401,-0.340965366,-2.250008357,-1.128421633
7.963,7963,-2.312485082,-0.566353368,-2.250008357,-1.128421633
8.004,8004,-3.567412985,-1.723205086,-2.250008357,-1.128421633
8.051,8051,-2.427889541,-1.22508729,-2.250008357,-1.128421633
8.093,8093,-2.664138452,-1.639643228,-2.250008357,-1.128421633
8.132,8132,-2.242801683,-1.786225846,-2.250008357,-1.128421633
8.172,8172,-2.072233927,-1.614111037,-2.250008357,-1.128421633
8.243,8243,-0.973319217,1.154939717,-2.250008357,0.495873755
8.285,8285,-2.343622918,0.215312112,-2.250008357,0.495873755
8.324,8324,-2.063149271,0.43561444,-2.250008357,0.495873755
8.364,8364,-1.536027174,0.177628752,-2.250008357,0.495873755
8.4,8400,-2.729526311,-1.777747776,-2.250008357,-0.909648301
8.442,8442,-1.666219409,-0.136159616,-2.250008357,-0.909648301
8.481,8481,-2.229292715,-0.869362079,-2.250008357,-0.909648301
8.519,8519,-1.553340313,-0.404477031,-2.250008357,-0.909648301
8.56,8560,-2.571393013,-1.578145007,-2.250008357,-0.909648301
8.597,8597,-2.235137571,-0.776361525,-2.250008357,-0.909648301
8.635,8635,-2.863706453,-2.264434538,-2.250008357,-0.909648301
8.678,8678,-1.774737397,-0.618310173,-2.250008357,-0.909648301
8.723,8723,-2.239331099,-1.306373432,-2.250008357,-0.909648301
8.76,8760,-1.54721719,0.799113204,-2.250008357,-0.909648301
8.801,8801,-2.39288849,-1.539926546,-2.250008357,-0.909648301
8.841,8841,-2.204062453,-0.767358263,-2.250008357,-0.909648301
8.887,8887,-1.796623415,0.502559157,-2.250008357,-0.909648301
8.939,8939,-1.883551282,0.557690821,-2.250008357,-0.909648301
8.983,8983,-2.65031464,-1.222139849,-2.250008357,-0.909648301
9.038,9038,-2.119624227,-0.856886657,-2.250008357,-0.909648301
9.09,9090,-3.494603657,-1.775297361,-2.250008357,-0.909648301
9.14,9140,-0.526915611,1.41281512,-2.250008357,0.211014956
9.209,9209,-2.275359735,-0.420388691,-2.250008357,0.211014956
9.271,9271,-1.437700851,0.494310987,-2.250008357,0.211014956
9.328,9328,-2.565608071,-0.228648274,-2.250008357,0.211014956
9.402,9402,-1.795483842,0.575978902,-2.250008357,0.211014956
9.471,9471,-2.531281151,-0.170226073,-2.250008357,0.211014956
9.536,9536,-0.379254411,2.43650872,-0.927753255,1.205705694
9.597,9597,-1.815083088,0.588428589,-0.927753255,1.205705694
9.671,9671,-0.01269319,3.291154851,-0.927753255,1.205705694
9.739,9739,-1.729772157,0.870476717,-0.927753255,1.205705694
9.795,9795,-1.072335609,2.397492519,-0.927753255,1.205705694
9.852,9852,-2.021575739,-0.049233503,-0.927753255,1.205705694
9.907,9907,-2.287610105,1.343884811,-0.927753255,1.205705694
9.97,9970,-1.211704313,1.317936936,-0.927753255,1.205705694
10.101,10101,-2.212182615,0.711000504,-0.927753255,1.205705694
10.17,10170,1.002873208,-0.502783161,-0.927753255,1.205705694
10.232,10232,-1.376547258,-0.244238371,-0.927753255,1.205705694
10.287,10287,-0.72669837,1.717871193,-0.927753255,1.205705694
10.349,10349,-1.075431919,1.574005163,-0.927753255,1.205705694
10.409,10409,-0.169290938,1.517126519,-0.927753255,1.205705694
10.473,10473,-1.863552851,-0.498906554,-0.927753255,-0.342758152
10.52,10520,-0.734272676,-0.531507727,-0.927753255,-0.342758152
10.529,10529,-0.220704518,-0.344279481,-0.927753255,-0.342758152
10.62,10620,-0.199185723,-0.226245922,-0.927753255,-0.342758152
10.708,10708,-1.863260575,-0.483509503,-0.927753255,-0.342758152
10.797,10797,-0.993593621,0.027900277,-0.927753255,-0.342758152
10.887,10887,-0.061478727,2.472450012,-0.927753255,1.141084362
10.987,10987,-0.865187546,1.025423951,-0.927753255,1.141084362
11.09,11090,-0.476380168,1.138564794,-0.927753255,1.141084362
11.192,11192,0.156544601,1.22313578,-0.927753255,1.141084362
11.268,11268,-0.754628025,0.313013019,-0.927753255,1.141084362
11.356,11356,-1.33076131,-0.496107204,-0.927753255,-0.940897285
11.454,11454,-1.009484721,-0.82853205,-0.927753255,-0.940897285
11.598,11598,-0.760588594,-1.814962488,-0.927753255,-0.940897285
11.726,11726,1.037165514,-1.255981018,1.136715082,-0.940897285
11.844,11844,-0.239726784,-1.362212112,1.136715082,-0.940897285
11.981,11981,2.036176713,-0.290020287,1.136715082,-0.940897285
12.13,12130,1.013599075,-1.62583435,1.136715082,-0.940897285
12.266,12266,1.391186425,-1.31206434,1.136715082,-0.940897285
12.541,12541,4.355996885,0.498696238,3.944081351,-0.940897285
12.68,12680,4.362839195,0.494745927,3.944081351,-0.940897285
12.867,12867,2.233617237,-0.90949644,3.944081351,-0.940897285
13.077,13077,0.041454153,-1.052630237,0.583022489,-0.940897285
13.251,13251,0.338975573,-1.383463607,0.583022489,-0.940897285
13.594,13594,2.29506116,0.457258146,0.583022489,-0.940897285
13.944,13944,0.550077578,-1.481552236,0.583022489,-0.940897285
,,4.362839195,,,
