Age_ka,D,J,F,M,A,M,J,J,A,S,O,N,Summer_DJF,Spring_MAM,Winter_JJA,Spring_SON,Spring_Summer_SONDJF,Autumn_Winter_MAMJJA,Annual,DJF_Summer_SD,MAM_Spring_SD,JJA_Winter_SD,SON_Spring_SD,Spring_Summer_SONDJF_SD,Autumn_Winter_MAMJJA_SD,Annual_SD
-100,-33.351404,-45.828106,-32.682354,-11.904718,0.554529,1.942488,0.790443,7.931831,27.749514,45.802777,39.175279,4.342811,-37.287288,-3.135900333,12.15726267,29.77362233,-3.756832833,4.510681167,0.376924167,7.404126286,7.625662594,13.96741142,22.2716312,39.61676874,13.09427261,28.46017483
-99.9,-32.01059,-44.982911,-32.433245,-12.001295,0.387528,1.772181,0.431776,7.101744,26.536352,44.949094,39.391882,5.519429,-36.475582,-3.280528667,11.356624,29.95346833,-3.261056833,4.038047667,0.388495417,7.370593215,7.58407147,13.56245645,21.34214984,39.086709,12.68294987,27.96584112
-99.8,-30.653904,-44.11138,-32.163138,-12.087883,0.221892,1.601948,0.07872,6.280851,25.317501,44.062577,39.569932,6.682816,-35.64280733,-3.421347667,10.559024,30.10510833,-2.7688495,3.568838167,0.399994333,7.372719246,7.537092586,13.15203748,20.40830219,38.5380181,12.26983208,27.4675626
-99.7,-29.282489,-43.214121,-31.872277,-12.16451,0.057695,1.43185,-0.268619,5.469786,24.09446,43.144469,39.709135,7.831648,-34.789629,-3.558321667,9.765209,30.22841733,-2.280605833,3.103443667,0.411418917,7.409844773,7.484780138,12.73687162,19.4720784,37.97144927,11.85558408,26.96612881
-99.6,-27.897517,-42.291756,-31.560908,-12.231207,-0.104989,1.261948,-0.610141,4.669158,22.868716,42.196058,39.809247,8.964599,-33.916727,-3.691416,8.975911,30.32330133,-1.796712833,2.6422475,0.422767333,7.48070461,7.427190043,12.3176813,18.53563705,37.38778791,11.44087942,26.46234914
-99.5,-26.500186,-41.344922,-31.229278,-12.288005,-0.26609,1.092301,-0.945752,3.87955,21.641741,41.218675,39.870073,10.080338,-33.02479533,-3.820598,8.191846333,30.38969533,-1.31755,2.185624167,0.434037083,7.5834991,7.364376586,11.89519377,17.60134024,36.78785048,11.02640089,25.95705191
-99.4,-25.091726,-40.374273,-30.877638,-12.334934,-0.425541,0.922969,-1.275362,3.101524,20.414988,40.21369,39.891474,11.177533,-32.11454567,-3.945835333,7.413716667,30.42756567,-0.84349,1.733940667,0.445225333,7.715990937,7.296393091,11.4701384,16.67179577,36.1724871,10.61284115,25.45108597
-99.3,-23.673391,-39.380473,-30.506237,-12.372027,-0.583274,0.75401,-1.598886,2.335615,19.18989,39.182508,39.873363,12.254855,-31.18670033,-4.067097,6.642206333,30.43690867,-0.374895833,1.287554667,0.456329417,7.875619277,7.223294183,11.043249,15.74990879,35.5425767,10.20090605,24.94531736
-99.2,-22.246463,-38.364205,-30.115327,-12.399314,-0.739227,0.585482,-1.916244,1.582337,17.967858,38.126568,39.815707,13.310981,-30.24199833,-4.184353,5.877983667,30.417752,0.087876833,0.846815333,0.467346083,8.05961761,7.145131325,10.61526322,14.83895239,34.89903109,9.791316139,24.44063155
-99.1,-20.812249,-37.326163,-29.705161,-12.416827,-0.893337,0.417441,-2.22736,0.84218,16.750279,37.047339,39.718526,14.344591,-29.281191,-4.297574333,5.121699667,30.370152,0.5444805,0.412062667,0.478271583,8.265116564,7.061956715,10.18692358,13.94265986,34.24279169,9.384810847,23.93793089
-99,-19.372081,-36.267058,-29.275992,-12.424598,-1.045544,0.249944,-2.532161,0.115612,15.538515,35.946319,39.581898,15.354378,-28.30504367,-4.406732667,4.373988667,30.29419833,0.994577333,-0.016372,0.489102667,8.489235387,6.973822171,9.758978515,13.06533705,33.57483297,8.982152474,23.43813601
-98.9,-17.927755,-35.18886,-28.829213,-12.423196,-1.195814,0.083132,-2.830702,-0.597208,14.334046,34.826185,39.407642,16.339986,-27.315276,-4.511959333,3.635378667,30.191271,1.4379975,-0.438290333,0.499853583,8.729572749,6.881110006,9.332375683,12.21233021,32.89740817,8.584340351,22.94303853
