Age_ka,D,J,F,M,A,M,J,J,A,S,O,N,Summer_DJF,Spring_MAM,Winter_JJA,Spring_SON,Spring_Summer_SONDJF,Autumn_Winter_MAMJJA,Annual,DJF_Summer_SD,MAM_Spring_SD,JJA_Winter_SD,SON_Spring_SD,Spring_Summer_SONDJF_SD,Autumn_Winter_MAMJJA_SD,Annual_SD
-98.8,-16.480017,-34.090861,-28.363814,-12.412071,-1.344077,-0.083045,-3.122807,-1.295618,13.137871,33.687086,39.19411,17.299241,-26.311564,-4.613064333,2.906482,30.06014567,1.874290833,-0.853291167,0.510499833,8.98299806,6.783504195,8.907617278,11.38913273,32.21014645,8.191929138,22.4526275
-98.7,-15.030278,-32.973752,-27.879979,-12.391213,-1.490274,-0.248536,-3.408394,-1.979168,11.951298,32.530531,38.941419,18.23077,-25.29466967,-4.710007667,2.187912,29.90090667,2.3031185,-1.261047833,0.521035333,9.24688775,6.681030223,8.485484746,10.60277976,31.51404517,7.805782165,21.96781992
-98.6,-13.580006,-31.838275,-27.377914,-12.360618,-1.63435,-0.413293,-3.687384,-2.647419,10.77563,31.358088,38.649774,19.133216,-24.26539833,-4.802753667,1.480275667,29.71369267,2.724147167,-1.661239,0.531454083,9.518766309,6.573715084,8.066789382,9.861644693,30.81016486,7.426820697,21.48956292
-98.5,-12.130723,-30.685234,-26.857859,-12.320297,-1.776247,-0.57726,-3.959699,-3.299946,9.612163,30.171383,38.319479,20.005244,-23.22460533,-4.891268,0.784172667,29.498702,3.137048333,-2.053547667,0.541750333,9.796319144,6.461597819,7.65237731,9.175629445,30.09963718,7.056035571,21.01883537
-98.4,-10.684,-29.515492,-26.320092,-12.270271,-1.915912,-0.740384,-4.225263,-3.936343,8.462175,28.972099,37.950944,20.845561,-22.17319467,-4.975522333,0.100189667,29.25620133,3.541503333,-2.437666333,0.5519185,10.07739256,6.344721042,7.243132453,8.556229748,29.38366885,6.694493022,20.55664584
-98.3,-9.24145,-28.329983,-25.764935,-12.210581,-2.053293,-0.902606,-4.484005,-4.55623,7.326922,27.761969,37.544698,21.652931,-21.11212267,-5.055493333,-0.571104333,28.98653267,3.937205,-2.813298833,0.561953083,10.35999614,6.223140669,6.839986775,8.016341542,28.66354969,6.343349506,20.10403334
-98.2,-7.804714,-27.1297,-25.192756,-12.14129,-2.18834,-1.063866,-4.73586,-5.159257,6.207625,26.542768,37.101393,22.426192,-20.04239,-5.131165333,-1.229164,28.69011767,4.323863833,-3.180164667,0.571849583,10.64229644,6.096925153,6.443926538,7.569591405,27.94065257,6.003861969,19.66206189
-98.1,-6.37545,-25.915701,-24.60397,-12.062481,-2.321009,-1.224103,-4.980773,-5.745109,5.105454,25.316302,36.621807,23.164274,-18.96504033,-5.202531,-1.873476,28.367461,4.701210333,-3.5380035,0.581603417,10.92261407,5.966153383,6.056001184,7.229002493,27.21643795,5.677397007,19.23181689
-98,-4.955314,-24.689095,-23.999044,-11.974265,-2.451259,-1.383252,-5.218697,-6.313517,4.021523,24.084396,36.106847,23.866214,-17.881151,-5.269592,-2.503563667,28.01915233,5.069000667,-3.886577833,0.591211417,11.19941915,5.830921005,5.677343103,7.004998545,26.49245461,5.365446823,18.81439974
-97.9,-3.547968,-23.450777,-23.377196,-11.875814,-2.578831,-1.541229,-5.448966,-6.862516,2.958964,22.849228,35.555071,24.527574,-16.79198033,-5.331958,-3.117506,27.64395767,5.425988667,-4.224732,0.600628333,11.46971013,5.690842907,5.309627731,6.902426889,25.76906818,5.069741133,18.40984168
-97.8,-2.153128,-22.2025,-22.740531,-11.768366,-2.703928,-1.697973,-5.672223,-7.393747,1.916674,21.612537,34.970508,25.151452,-15.69871967,-5.390089,-3.716432,27.24483233,5.773056333,-4.5532605,0.609897917,11.73391067,5.546602517,4.953768629,6.920659522,25.04948448,4.791887683,18.02042467
-97.7,-0.77212,-20.945446,-22.089719,-11.652176,-2.826548,-1.853427,-5.888518,-7.907252,0.895299,20.376001,34.354571,25.737604,-14.60242833,-5.444050333,-4.300157,26.82272533,6.1101485,-4.872103667,0.619022417,11.99105548,5.398366358,4.611224786,7.052178461,24.33558012,4.533745574,17.64731793
-97.6,0.593826,-19.680765,-21.425434,-11.527506,-2.946696,-2.007536,-6.097913,-8.403124,-0.104628,19.141201,33.708714,26.285917,-13.50412433,-5.493912667,-4.868555,26.37861067,6.437243167,-5.181233833,0.628004667,12.24030719,5.246302675,4.283660792,7.284198847,23.62929611,4.297289644,17.29166559
-97.5,1.943568,-18.409572,-20.748339,-11.394625,-3.064381,-2.160247,-6.300479,-8.881498,-1.082675,17.909622,33.034406,26.796385,-12.404781,-5.539751,-5.421550667,25.913471,6.754345,-5.480650833,0.636847083,12.48093735,5.090582161,3.973008471,7.600948994,22.93263657,4.084571044,16.95457319
-97.4,3.276047,-17.132934,-20.059085,-11.253797,-3.179618,-2.311512,-6.49629,-9.342538,-2.038496,16.682651,32.333117,27.269094,-11.305324,-5.581642333,-5.959108,25.42828733,7.061481667,-5.770375167,0.64555325,12.71231195,4.931369579,3.681532393,7.985968845,22.24767156,3.897637589,16.63709435
-97.3,4.590279,-15.851884,-19.3583,-11.105283,-3.292422,-2.461286,-6.685426,-9.786434,-2.971822,15.461581,31.606303,27.7042,-10.206635,-5.619663667,-6.481227333,24.924028,7.3586965,-6.0504455,0.6541255,12.9338794,4.768827043,3.411891997,8.423777619,21.57654169,3.738418774,16.34021781
-97.2,5.885331,-14.567412,-18.646593,-10.949334,-3.402811,-2.609524,-6.867963,-10.21338,-3.882435,14.247621,30.855395,28.10191,-9.109558,-5.653889667,-6.987926,24.401642,7.646042,-6.320907833,0.662567083,13.14514935,4.603110262,3.167176896,8.900759898,20.92146144,3.608566102,16.06485026
-97.1,7.160312,-13.280481,-17.924545,-10.78619,-3.510803,-2.756185,-7.043973,-10.623572,-4.770158,13.041908,30.081791,28.462459,-8.014904667,-5.684392667,-7.479234333,23.86205267,7.923574,-6.5818135,0.67088025,13.3456822,4.434367385,2.950881764,9.405434971,20.28472082,3.509268285,15.81179972
-97,8.414349,-11.992035,-17.19272,-10.616076,-3.616411,-2.901228,-7.213521,-11.017193,-5.634831,11.845522,29.28685,28.78609,-6.923468667,-5.711238333,-7.955181667,23.306154,8.191342667,-6.83321,0.679066333,13.53507552,4.26273927,2.766767172,9.928356084,19.66868667,3.441070062,15.58175665
-96.9,9.651239,-10.700787,-16.451665,-10.439876,-3.720007,-3.044814,-7.377544,-11.396886,-6.480187,10.656541,28.472663,29.077432,-5.833737667,-5.734899,-8.418205667,22.73554533,8.450903833,-7.076552333,0.68717575,13.71519326,4.088591178,2.618341993,10.46509415,19.07645324,3.404255785,15.37650455
-96.8,10.86527,-9.409768,-15.701698,-10.256988,-3.821215,-3.186697,-7.535126,-11.760108,-7.30195,9.478899,27.639371,29.331874,-4.748732,-5.754966667,-8.865728,22.150048,8.700658,-7.310347333,0.695155333,13.88325933,3.911751569,2.50931653,11.00611895,18.50986567,3.39741648,15.19522863
-96.7,12.055077,-8.120184,-14.943382,-10.067551,-3.920008,-3.326812,-7.686217,-12.106753,-8.099575,8.313904,26.788248,29.549263,-3.669496333,-5.771457,-9.297515,21.55047167,8.940487667,-7.534486,0.703000833,14.03872012,3.732330119,2.44163466,11.54603151,17.97143952,3.418577581,15.03804517
-96.6,13.219255,-6.833308,-14.17731,-9.87171,-4.016354,-3.46509,-7.83076,-12.436694,-8.872497,7.162888,25.920603,29.729463,-2.597121,-5.784384667,-9.713317,20.93765133,9.170265167,-7.748850833,0.710707167,14.18104029,3.550442829,2.415344842,12.08035315,17.46368767,3.465078178,14.90486567
-96.5,14.356372,-5.550466,-13.404109,-9.669614,-4.11022,-3.601459,-7.968688,-12.749795,-9.620144,6.027186,25.037784,29.87238,-1.532734333,-5.793764333,-10.11287567,20.31245,9.389857833,-7.95332,0.718268917,14.30970657,3.366209651,2.428339846,12.60535225,16.98907492,3.533793648,14.79539017
-96.4,15.464987,-4.273033,-12.624434,-9.461423,-4.201569,-3.735843,-8.099935,-13.045914,-10.341954,4.908133,24.141177,29.977969,-0.477493333,-5.799611667,-10.49593433,19.67575967,9.599133167,-8.147773,0.725680083,14.42423253,3.179759717,2.476582226,13.11789363,16.54995858,3.621376331,14.70910513
-96.3,16.543679,-3.002415,-11.838972,-9.247302,-4.290367,-3.868166,-8.22443,-13.324919,-11.037384,3.807041,23.2322,30.046255,0.567430667,-5.801945,-10.86224433,19.02849867,9.797964667,-8.332094667,0.732935,14.52417185,2.991225011,2.554750954,13.61533755,16.14852635,3.724467828,14.64529082
-96.2,17.591062,-1.740038,-11.048434,-9.02743,-4.37658,-3.998351,-8.342108,-13.586689,-11.705929,2.725186,22.3123,30.077346,1.600863333,-5.800787,-11.21157533,18.37161067,9.986237,-8.506181167,0.740027917,14.60912041,2.800746879,2.657008963,14.09545808,15.78672622,3.839862107,14.60303492
-96.1,18.605816,-0.487327,-10.253547,-8.801994,-4.460176,-4.126322,-8.452907,-13.831128,-12.347139,1.663786,21.382934,30.071438,2.621647333,-5.796164,-11.54372467,17.70605267,10.16385,-8.669944333,0.746952833,14.67872608,2.608471797,2.777664707,14.55638229,15.46619187,3.964612796,14.5812509
-96,19.586706,0.754315,-9.455048,-8.571191,-4.541127,-4.252005,-8.556776,-14.058165,-12.960625,0.623986,20.445565,30.028828,3.628657667,-5.788107667,-11.858522,17.032793,10.33072533,-8.823314833,0.75370525,14.73269334,2.414552239,2.911579211,14.9965477,15.18817736,4.096086115,14.57870498
-95.9,20.527262,1.979155,-8.655502,-8.33533,-4.619067,-4.375004,-8.652944,-14.26571,-13.542163,-0.388703,19.503591,29.947326,4.616971667,-5.776467,-12.15360567,16.35407133,10.4855215,-8.965036333,0.760242583,14.76912273,2.219397796,3.053171162,15.4113033,14.95265712,4.230768436,14.59258648
-95.8,21.43226,3.190437,-7.853823,-8.094578,-4.694353,-4.495598,-8.742189,-14.456052,-14.095814,-1.378088,18.556561,29.830454,5.589624667,-5.761509667,-12.43135167,15.66964233,10.6296335,-9.096430667,0.766601417,14.78971739,2.022938895,3.199981834,15.80329073,14.76055291,4.367940464,14.62288665
-95.7,22.301279,4.387322,-7.05054,-7.849125,-4.767002,-4.613753,-8.824547,-14.629388,-14.621758,-2.343728,17.605642,29.678975,6.546020333,-5.743293333,-12.69189767,14.98029633,10.76315833,-9.2175955,0.772781417,14.79450248,1.825312732,3.349226095,16.17197288,14.61181397,4.506058528,14.66827103
-95.6,23.133998,5.569049,-6.246147,-7.599154,-4.837031,-4.729442,-8.900059,-14.785932,-15.120224,-3.285282,16.651925,29.493691,7.485633333,-5.721875667,-12.935405,14.286778,10.88620567,-9.328640333,0.778782667,14.78354496,1.626660476,3.498707017,16.51698241,14.5059379,4.643844492,14.72739447
-95.5,23.930178,6.734914,-5.44111,-7.344841,-4.904461,-4.842637,-8.968769,-14.925906,-15.591483,-4.202486,15.696444,29.275431,8.407994,-5.697313,-13.16205267,13.58979633,10.99889517,-9.429682833,0.784606167,14.75694878,1.42713592,3.646706612,16.83808792,14.44198115,4.78024852,14.79892003
-95.4,24.68964,7.88426,-4.635878,-7.086355,-4.969314,-4.953316,-9.03072,-15.049535,-16.035827,-5.095139,14.740171,29.02504,9.312674,-5.669661667,-13.37202733,12.890024,11.101349,-9.5208445,0.79025225,14.71484884,1.226918491,3.791886733,17.13516667,14.41858229,4.914409899,14.88153002
-95.3,25.412252,9.016455,-3.830889,-6.823864,-5.03161,-5.061456,-9.085953,-15.157038,-16.453559,-5.963081,13.784038,28.743374,10.19927267,-5.638976667,-13.56551667,12.18811033,11.1936915,-9.602246667,0.795722417,14.65740827,1.026251037,3.933206028,17.40818036,14.43400107,5.045624961,14.97393712
-95.2,26.097907,10.13088,-3.026578,-6.557531,-5.09137,-5.167034,-9.134506,-15.248628,-16.84498,-6.806179,12.828942,28.431292,11.067403,-5.605311667,-13.74270467,11.484685,11.276044,-9.674008167,0.801017917,14.58481104,0.825513479,4.069853332,17.65715466,14.48616467,5.173318172,15.0748888
-95.1,26.746507,11.226905,-2.223395,-6.287523,-5.14861,-5.270023,-9.176411,-15.324503,-17.210379,-7.624305,11.875763,28.089659,11.91667233,-5.568718667,-13.90376433,10.78037233,11.34852233,-9.7362415,0.806140417,14.49726318,0.625455859,4.201194381,17.88216197,14.57272438,5.297016857,15.18317015
-95,27.357956,12.303877,-1.421807,-6.01401,-5.203347,-5.370397,-9.211697,-15.384848,-17.550024,-8.417325,10.925373,27.71934,12.74667533,-5.529251333,-14.04885633,10.075796,11.41123567,-9.789053833,0.811090917,14.39499018,0.428041644,4.326728509,18.08330653,14.6911118,5.416329061,15.29760456
-94.9,27.935542,13.365275,-0.619761,-5.736488,-5.255793,-5.468402,-9.240684,-15.430722,-17.866421,-9.188649,9.975592,27.321191,13.560352,-5.486894333,-14.17927567,9.369378,11.464865,-9.833085,0.81589,14.27865097,0.240880459,4.446956616,18.26246768,14.8400916,5.53178331,15.41826765
-94.8,28.475284,14.405799,0.179475,-5.455854,-5.305728,-5.563695,-9.263032,-15.461229,-18.157195,-9.934128,9.030591,26.895928,14.35351933,-5.441759,-14.29381867,8.664130333,11.50882483,-9.867788833,0.820518,14.14797694,0.129559813,4.560555781,18.41776252,15.0154066,5.642151187,15.54278658
-94.7,28.976796,15.424313,0.975094,-5.172373,-5.35314,-5.656212,-9.278737,-15.476449,-18.422369,-10.653277,8.091552,26.444497,15.125401,-5.393908333,-14.39251833,7.960924,11.5431625,-9.893213333,0.824974583,14.00324391,0.244482284,4.667191961,18.54923197,15.21396917,5.74712759,15.66996633
-94.6,29.439728,16.419666,1.766256,-4.886327,-5.398017,-5.745887,-9.287791,-15.476471,-18.661977,-11.345623,7.159662,25.967887,15.87521667,-5.343410333,-14.475413,7.260642,11.56792933,-9.909411667,0.829258833,13.84476731,0.432373987,4.766595077,18.65695996,15.43266548,5.846451246,15.79864582
-94.5,29.863782,17.390705,2.552095,-4.59801,-5.440344,-5.832655,-9.290196,-15.461391,-18.876068,-12.010717,6.236104,25.467133,16.602194,-5.290336333,-14.54255167,6.564173333,11.58318367,-9.916444,0.833369833,13.67290656,0.630843716,4.858542455,18.74107874,15.66841154,5.939899495,15.92770485
-94.4,30.248726,18.336296,3.331729,-4.307725,-5.480109,-5.91645,-9.285954,-15.431318,-19.064715,-12.648148,5.322034,24.943308,17.30558367,-5.234761333,-14.59399567,5.872398,11.58899083,-9.9143785,0.837306167,13.48806724,0.831952907,4.942860831,18.8017703,15.91820122,6.027286929,16.05607013
-94.3,30.594397,19.255339,4.104278,-4.015779,-5.517299,-5.997207,-9.275076,-15.386371,-19.228017,-13.25755,4.418578,24.397515,17.98467133,-5.176761667,-14.62982133,5.186181,11.58542617,-9.9032915,0.841067333,13.29069405,1.033677167,5.019415722,18.8392646,16.17914034,6.108462179,16.18271924
-94.2,30.900713,20.146784,4.868867,-3.722483,-5.5519,-6.074865,-9.257578,-15.326686,-19.366108,-13.838615,3.52681,23.830881,18.638788,-5.116416,-14.650124,4.506358667,11.57257333,-9.88327,0.844651667,13.08127633,1.235176102,5.088113284,18.85384229,16.44848113,6.18330811,16.30668795
-94.1,31.167675,21.009647,5.624642,-3.428143,-5.583904,-6.149363,-9.233482,-15.252411,-19.479154,-14.391102,2.647743,23.244548,19.26732133,-5.053803333,-14.65501567,3.833729667,11.5505255,-9.8544095,0.848058,12.86034244,1.43597166,5.148894014,18.84583405,16.72364413,6.25173841,16.42707371
-94,31.395372,21.843017,6.37078,-3.13306,-5.6133,-6.220648,-9.202815,-15.163708,-19.567358,-14.914836,1.782318,22.639656,19.869723,-4.989002667,-14.644627,3.169046,11.5193845,-9.816814833,0.851284833,12.62845866,1.635729282,5.201732568,18.81561129,17.0022311,6.313697584,16.54303864
-93.9,31.583294,22.644372,7.105095,-2.838054,-5.640038,-6.288566,-9.16565,-15.060794,-19.630561,-15.408517,0.933057,22.018295,20.44425367,-4.922219333,-14.61900167,2.514278333,11.479266,-9.7706105,0.85432775,12.3865228,1.833836414,5.24642506,18.76344211,17.28126984,6.368944108,16.65342017
-93.8,31.732559,23.41495,7.828431,-2.542821,-5.664164,-6.35319,-9.121997,-14.943842,-19.669539,-15.873533,0.098841,21.380572,20.99198,-4.853391667,-14.57845933,1.868626667,11.43030333,-9.7159255,0.857188917,12.13486389,2.030453597,5.283255524,18.69000243,17.55959105,6.417732827,16.75796051
-93.7,31.843516,24.154223,8.540205,-2.247584,-5.685676,-6.414488,-9.071886,-14.813026,-19.684598,-16.309991,-0.719768,20.727485,21.512648,-4.782582667,-14.52317,1.232575333,11.37261167,-9.652876333,0.859867667,11.87411111,2.225411291,5.312290125,18.5957627,17.83544691,6.460097925,16.85605797
-93.6,31.916555,24.861728,9.239869,-1.952555,-5.70457,-6.472426,-9.015351,-14.668519,-19.676049,-16.718041,-1.522278,20.059999,22.00605067,-4.709850333,-14.45330633,0.60656,11.30630533,-9.581578333,0.8623635,11.60492101,2.418555121,5.333606456,18.48120721,18.10726774,6.496090142,16.94717116
-93.5,31.952107,25.53706,9.926905,-1.657936,-5.720846,-6.526977,-8.952426,-14.510493,-19.644215,-17.09787,-2.308256,19.379045,22.472024,-4.635253,-14.36904467,-0.009027,11.2314985,-9.502148833,0.864674833,11.32798371,2.609746,5.347297797,18.34683004,18.373651,6.52577637,17.03081816
-93.4,31.950635,26.179866,10.600829,-1.363919,-5.734501,-6.578113,-8.883145,-14.339115,-19.58942,-17.449692,-3.077328,18.685523,22.91044333,-4.558844333,-14.27056,-0.613832333,11.1483055,-9.414702167,0.866801667,11.04402089,2.798853554,5.353466721,18.19313192,18.63334759,6.54923669,17.10657123
-93.3,31.91263,26.789843,11.26118,-1.070689,-5.745532,-6.625811,-8.807541,-14.154552,-19.51199,-17.773748,-3.829171,17.9803,23.32121767,-4.480677333,-14.15802767,-1.207539667,11.056839,-9.3193525,0.86874325,10.75379552,2.985755868,5.352225346,18.02061875,18.88525108,6.566563374,17.1740551
-93.2,31.838608,27.366735,11.907527,-0.778422,-5.753937,-6.670046,-8.725648,-13.956967,-19.412253,-18.070301,-4.56351,17.26421,23.70429,-4.400801667,-14.03162267,-1.789867,10.9572115,-9.216212167,0.870499667,10.45811288,3.170337484,5.343693639,17.82979917,19.12838618,6.577860939,17.23294448
-93.1,31.729107,27.910324,12.539458,-0.487288,-5.759715,-6.710799,-8.6375,-13.746519,-19.290535,-18.339632,-5.280115,16.538054,24.05962967,-4.319267333,-13.891518,-2.360564333,10.84953267,-9.105392667,0.87207,10.15783158,3.35249003,5.327997486,17.62118263,19.36189668,6.583243387,17.28296013
-93,31.584681,28.420433,13.156584,-0.19745,-5.762863,-6.748051,-8.54313,-13.523366,-19.147163,-18.582036,-5.978792,15.802605,24.38723267,-4.236121333,-13.73788633,-2.919407667,10.7339125,-8.987003833,0.873454333,9.853868198,3.532109632,5.305270323,17.39527978,19.58503441,6.58283663,17.32386734
-92.9,31.405556,28.896196,13.757967,0.090735,-5.763354,-6.781741,-8.442576,-13.28763,-18.982229,-18.797299,-6.658746,15.058911,24.686573,-4.151453333,-13.57081167,-3.465711333,10.61043083,-8.8611325,0.874649167,9.547253203,3.70896204,5.275529853,17.15247334,19.79667366,6.576651069,17.35518909
-92.8,31.192743,29.338277,14.343826,0.377302,-5.761213,-6.811899,-8.335883,-13.03953,-18.79634,-18.986312,-7.320501,14.307432,24.958282,-4.06527,-13.39058433,-3.999793667,10.47924417,-8.727927167,0.8756585,9.239035024,3.883081218,5.239057121,16.89345051,19.99676022,6.564972348,17.37708182
-92.7,30.94686,29.746661,14.913881,0.662121,-5.756441,-6.838513,-8.223085,-12.779214,-18.589825,-19.149444,-7.964022,13.548815,25.20246733,-3.977611,-13.19737467,-4.521550333,10.3404585,-8.587492833,0.876482833,8.930362589,4.054387096,5.196005034,16.61872419,20.18485858,6.547963182,17.38945269
-92.6,30.668519,30.121352,15.467861,0.945067,-5.749034,-6.861571,-8.104213,-12.506821,-18.363004,-19.287059,-8.589297,12.783675,25.419244,-3.888512667,-12.991346,-5.030893667,10.19417517,-8.439929333,0.877122917,8.622491846,4.222801669,5.14653005,16.32879881,20.36060116,6.52579517,17.39223955
-92.5,30.358328,30.462365,16.005503,1.226017,-5.738991,-6.881064,-7.979298,-12.222484,-18.116181,-19.399514,-9.196327,12.0126,25.608732,-3.798012667,-12.77265433,-5.527747,10.0404925,-8.2853335,0.8775795,8.316802952,4.388250022,5.090787246,16.02417193,20.5236794,6.498645946,17.38540865
-92.4,30.016888,30.769722,16.526544,1.504844,-5.726308,-6.896979,-7.848369,-11.926332,-17.849652,-19.487156,-9.785121,11.236157,25.77105133,-3.706147667,-12.541451,-6.01204,9.879505667,-8.123799333,0.877853167,8.014822308,4.550653059,5.028935668,15.70533653,20.67383509,6.466701662,17.36895195
-92.3,29.644796,31.043445,17.030716,1.781422,-5.710981,-6.909305,-7.711456,-11.618489,-17.563697,-19.550316,-10.355688,10.454897,25.906319,-3.612954667,-12.29788067,-6.483702333,9.711308333,-7.955417667,0.877945333,7.718244698,4.709933101,4.961133233,15.37278135,20.8108512,6.430156063,17.34288378
-92.2,29.242644,31.283554,17.517742,2.055615,-5.693004,-6.918032,-7.568594,-11.299082,-17.258591,-19.589314,-10.90803,9.669368,26.01464667,-3.518473667,-12.042089,-6.942658667,9.535994,-7.780281333,0.877856333,7.428954845,4.866006756,4.887540794,15.02700055,20.93454654,6.389212488,17.30724112
-92.1,28.811028,31.490069,17.987329,2.327279,-5.672374,-6.923148,-7.419818,-10.968241,-16.934604,-19.604452,-11.442139,8.880118,26.096142,-3.422747667,-11.774221,-7.388824333,9.353658833,-7.598484333,0.87758725,7.149052481,5.018786098,4.808325174,14.66849351,21.04477019,6.344084962,17.26208221
-92,28.35055,31.663004,18.439171,2.596262,-5.649086,-6.924641,-7.265172,-10.626103,-16.592005,-19.596024,-11.957992,8.087701,26.15090833,-3.325821667,-11.49442667,-7.822105,9.164401667,-7.410124167,0.87713875,6.880861676,5.168178243,4.723657793,14.29777355,21.14139836,6.295000875,17.20748654
-91.9,27.860983,31.803228,18.874343,2.863142,-5.623089,-6.922515,-7.104336,-10.272054,-16.230448,-19.56464,-12.457138,7.290685,26.179518,-3.227487333,-11.20227933,-8.243697667,8.967910167,-7.214883333,0.876513417,6.626425148,5.314503856,4.633623791,13.91463006,21.22493602,6.242191963,17.14367831
-91.8,27.343719,31.909682,19.290918,3.126927,-5.59442,-6.916733,-6.937739,-9.907016,-15.850779,-19.510099,-12.937725,6.491788,26.18143967,-3.128075333,-10.89851133,-8.652012,8.764713833,-7.013293333,0.87571025,6.389168268,5.457189621,4.538487386,13.52035628,21.29458637,6.185904721,17.07060381
-91.7,26.799517,31.982356,19.688438,3.387362,-5.563082,-6.907287,-6.765487,-9.531247,-15.453366,-19.432671,-13.399569,5.691793,26.15677033,-3.027669,-10.58336667,-9.046815667,8.554977333,-6.805517833,0.87472975,6.17211045,5.59608692,4.438471271,13.11562118,21.35025824,6.126422821,16.98841143
-91.6,26.229185,32.021286,20.066455,3.644187,-5.529081,-6.894173,-6.587701,-9.145031,-15.038605,-19.332651,-13.842496,4.891498,26.105642,-2.926355667,-10.25711233,-9.427883,8.3388795,-6.591734,0.87357275,5.978372957,5.731046348,4.333819133,12.7011399,21.39189984,6.064053941,16.89728408
-91.5,25.633573,32.026564,20.424541,3.897139,-5.492426,-6.877392,-6.404514,-8.748672,-14.60692,-19.21036,-14.266354,4.091697,26.028226,-2.824226333,-9.920035333,-9.795005667,8.116610167,-6.372130833,0.872239667,5.811071129,5.861919196,4.224800006,12.27767006,21.4195021,5.999130296,16.79744033
