Age_ka_BP,Age_cal_BP,Normal,Age_zone,zone,Pollen_zone
14.70839,14708.39,46.8,,,
14.80738,14807.38,26.3,,,
14.88967,14889.67,35.8,,,
14.93081,14930.81,66.7,,,
14.95138,14951.38,38.9,,,
15.02756,15027.56,40.2,,,
15.08546,15085.46,30.7,,,
15.14335,15143.35,42.3,,,
15.20186,15201.86,40.6,,,
15.26058,15260.58,57.4,,,
15.31931,15319.31,38.5,,,
15.37809,15378.09,61.3,,,
15.43688,15436.88,31.7,,,
15.49494,15494.94,56.6,,,
15.55277,15552.77,30.4,,,
15.61498,15614.98,51,,,
15.69039,15690.39,45.8,,,
15.76579,15765.79,36.4,,,
